Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms
RUNE II: Decapitation Edition,22/11/2019,Studio 369,Human Head Studios,Action RPG,Not Rated,4.7,78,PC
Storyteller,23/3/2023,Daniel Benmergui,Annapurna Interactive,Puzzle,Not Rated,6.7,37,PC
Game of Thrones: Episode Three - The Sword in the Darkness,24/3/2015,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,7.7,112,Xbox One
Blood Knights,1/11/2013,Deck 13,DTP Entertainment,Action RPG,Rated M For Mature,4.9,12,Xbox 360
Yager,5/10/2004,Yager,Kemco,Action Adventure,Rated T For Teen,6.4,5,Xbox
Legends of Eisenwald,21/7/2014,Aterdux Entertainment,Fellow Traveller,Turn-Based Tactics,Not Rated,7.7,86,PC
Operation: Vietnam,20/8/2007,Coyote Console,Majesco,Tactical Third Person Shooter,Rated T For Teen,6.894852313,,DS
Life is Feudal: Your Own,19/9/2014,Bitbox Ltd.,Bitbox Ltd.,Action RPG,Not Rated,5.8,58,PC
Fallout 4: Automatron,22/3/2016,Bethesda Game Studios,Bethesda Softworks,Western RPG,Rated M For Mature,6.3,133,PlayStation 4
Super Mario Maker,11/9/2015,Nintendo,Nintendo,2D Platformer,Rated E For Everyone,8.7,930,Wii U
Space Force: Rogue Universe,5/6/2007,Provox Games,DreamCatcher Interactive,Space Sim,Rated T For Teen,6,5,PC
Battlefield Heroes,25/6/2009,EA DICE,Electronic Arts,Tactical Third Person Shooter,Rated T For Teen,6.1,91,PC
Medal of Honor: Vanguard,26/3/2007,Electronic Arts,Electronic Arts,FPS,Rated T For Teen,6.6,52,PlayStation 2
Leviathan: Warships,28/4/2013,Pieces Interactive,Paradox Interactive,Strategy,Not Rated,6.5,33,PC
"Wallace & Gromit's Grand Adventures, Episode 1: Fright of the Bumblebees",23/3/2009,Telltale Games,Telltale Games,Compilation,Not Rated,7.6,19,Xbox 360
The Longest Journey,16/11/2000,Funcom,Funcom,Point-and-Click,Rated M For Mature,8.7,495,PC
Tron 2.0,26/8/2003,Monolith Productions,Buena Vista Interactive,Action Adventure,Rated T For Teen,8.2,75,PC
Snoopy's Grand Adventure,3/11/2015,Behaviour Interactive,Activision,2D Platformer,Rated E For Everyone,5.7,6,PlayStation 4
A Robot Named Fight!,26/4/2018,Matt Bitner,Hitcents,Metroidvania,Rated T For Teen,7.6,31,PC
The Council - Episode 4: Burning Bridges,25/9/2018,Big Bad Wolf,Focus Home Interactive,Adventure,Rated M For Mature,6.3,15,PC
Tears to Tiara II: Heir of the Overlord,14/10/2014,Aqua Plus,Atlus,Visual Novel,Rated T For Teen,8.2,78,PlayStation 3
Shining Resonance Refrain,10/7/2018,Sega,Sega,Action RPG,Rated T For Teen,7.1,58,PlayStation 4
Mega Man Battle Network 5: Double Team DS,1/11/2005,Capcom,Capcom,Action RPG,Rated E For Everyone,6.6,25,DS
GoldenEye: Rogue Agent,22/11/2004,EA LA,EA Games,FPS,Rated T For Teen,7.2,10,PlayStation 2
BMX XXX,15/11/2002,"Z-Axis, Ltd.",Acclaim,Biking,Rated M For Mature,5.1,7,Xbox
Herald: An Interactive Period Drama,22/2/2017,Wispfire,Wispfire,First-Person Adventure,Not Rated,6.894852313,,PC
Kenshi,21/11/2011,Lo-Fi Games,Lo-Fi Games,RPG,Not Rated,8.5,297,PC
Lost Planet 2,11/5/2010,Capcom,Capcom,Third Person Shooter,Rated T For Teen,6.2,95,PlayStation 3
Inkheart,12/1/2009,DreamCatcher Interactive,DreamCatcher Interactive,Adventure,Rated E For Everyone,6.894852313,,DS
Wolfenstein: Youngblood,26/7/2019,MachineGames,Bethesda Softworks,FPS,Not Rated,2.5,958,Xbox One
